47.3810295;8.5041669;0;2
47.3812337;8.5036992;0;2
47.3813701;8.5034049;0;2
47.3830045;8.4999719;0;2
47.3837766;8.4983772;0;2
47.3841112;8.4977009;0;2
47.3842463;8.4974297;0;2
47.3844248;8.4970342;0;2
47.3846062;8.4965605;0;2
47.3852535;8.4946559;0;2
47.3856149;8.4935477;0;2
47.3857339;8.4932197;0;2
47.386051;8.4924941;0;2
47.3862614;8.4920252;0;2
47.3867803;8.4907026;0;2
47.386908;8.4903693;0;2
47.3869878;8.4901131;0;2
47.3870836;8.4896447;0;2
47.3873173;8.4880896;0;2
47.3873818;8.4877627;0;2
47.3874682;8.4874519;0;2
47.3875691;8.4871507;0;2
47.3877635;8.4865784;0;2
47.3878366;8.4862767;0;2
47.3879423;8.4857121;0;2
47.3880172;8.4852828;0;2
47.3880876;8.4849527;0;2
47.3881964;8.4845765;0;2
47.3884294;8.4840192;0;2
47.389163;8.4827341;0;2
47.3892972;8.4824908;0;2
47.3894677;8.4821275;0;2
47.3895824;8.4818434;0;2
47.390202;8.480165;0;2
47.3903718;8.479776;0;2
47.3904168;8.4796888;0;2
47.3904522;8.4796376;0;2
47.39046;8.4796262;0;2
47.3905243;8.4795703;0;2
47.3905911;8.479544;0;2
47.3906905;8.4795225;0;2
47.3907702;8.4795119;0;2
47.3908169;8.4794922;0;2
47.390854;8.4794644;0;2
47.3908854;8.4794316;0;2
47.3909136;8.4793929;0;2
47.3909289;8.4793649;0;2
47.3909407;8.4793313;0;2
47.3909477;8.4792965;0;2
47.3909529;8.4792593;0;2
47.3909522;8.479219;0;2
47.3909471;8.4791791;0;2
47.3909382;8.4791415;0;2
47.3909238;8.4791034;0;2
47.3909056;8.4790718;0;2
47.3908812;8.4790416;0;2
47.390861;8.4790254;0;2
47.3908538;8.5223021;1;17
47.3908725;8.5222667;1;17
47.3909224;8.5221682;1;17
47.3909473;8.5221034;1;17
47.3909721;8.5220335;1;17
47.3909949;8.5219586;1;17
